stem_id,plot_id,species_id,x,y
H1760_1271,H1760,BPA,12,76.25
H1760_1272,H1760,TOC,10.25,76.75
H1760_1273,H1760,TOC,15,70.5
H1760_1274,H1760,PTR,18.25,79.75
H1760_1275,H1760,TOC,19,73
H1760_1276,H1760,ABA,10.25,76
H1760_1277,H1760,ABA,10.5,75
H1760_1278,H1760,ABA,16,75.5
H1760_1279,H1760,ABA,16.5,72
H1760_128,H1760,ASP,71,1.5
H1760_1280,H1760,ABA,17,74
H1760_1281,H1760,ABA,17.75,70.25
H1760_1282,H1760,ABA,17.75,73
H1760_1283,H1760,ABA,18.5,75
H1760_1284,H1760,ABA,18.5,77.25
H1760_1285,H1760,ABA,19.25,79
H1760_1286,H1760,ABA,19.5,78.25
H1760_1287,H1760,ABA,19.5,78.75
H1760_1288,H1760,TOC,22.14,79.17
H1760_1289,H1760,ABA,22.94,76.46
H1760_129,H1760,ABA,74,2.5
H1760_1290,H1760,TOC,22,71.75
H1760_1291,H1760,BPA,22,73
H1760_1292,H1760,TOC,24,73.5
H1760_1293,H1760,BPA,29,71
H1760_1294,H1760,TOC,29.75,74
H1760_1295,H1760,ABA,23.25,71.5
H1760_1296,H1760,ABA,24,74
H1760_1297,H1760,ABA,24,80
H1760_1298,H1760,ABA,26.75,77.75
H1760_1299,H1760,ABA,27,75.5
H1760_13,H1760,TOC,12,2.25
H1760_130,H1760,ABA,70.75,6
H1760_1300,H1760,TOC,28.5,79.5
H1760_1301,H1760,ABA,33.5,80
H1760_1302,H1760,ABA,35.22,77.59
H1760_1303,H1760,ABA,33.81,80
H1760_1304,H1760,ABA,33.23,80
H1760_1305,H1760,ABA,30.94,78.39
H1760_1306,H1760,ASP,34.96,80
H1760_1307,H1760,ABA,35.67,70
H1760_1308,H1760,TOC,30.5,79.75
H1760_1309,H1760,TOC,32.25,77.25
H1760_131,H1760,ABA,71,3.5
H1760_1310,H1760,TOC,33,77.25
H1760_1311,H1760,TOC,31.25,74.75
H1760_1312,H1760,TOC,33.25,73.75
H1760_1313,H1760,TOC,38.25,79.25
H1760_1314,H1760,TOC,35.5,79.5
H1760_1315,H1760,ABA,31,71.5
H1760_1316,H1760,PTR,32.5,72.5
H1760_1317,H1760,ABA,33,73.75
H1760_1318,H1760,PTR,30.75,76.5
H1760_1319,H1760,ABA,33.75,74.25
H1760_132,H1760,ABA,71.5,1
H1760_1320,H1760,ABA,33.5,74.25
H1760_1321,H1760,PTR,36.25,75
H1760_1322,H1760,PTR,36,74.75
H1760_1323,H1760,ABA,37,75
H1760_1324,H1760,ABA,39,75.5
H1760_1325,H1760,ASP,39.75,78
H1760_1326,H1760,ABA,40,74.5
H1760_1327,H1760,PTR,35,74
H1760_1328,H1760,PTR,34,71.5
H1760_1329,H1760,ABA,31,73.5
H1760_133,H1760,ABA,71.75,2.25
H1760_1330,H1760,ABA,31.5,77.75
H1760_1331,H1760,ABA,32.25,75
H1760_1332,H1760,ABA,34,74
H1760_1333,H1760,ABA,34.75,78
H1760_1334,H1760,ABA,35.25,77.25
H1760_1335,H1760,ABA,37.25,72.25
H1760_1336,H1760,ABA,39,77.25
H1760_1337,H1760,ABA,39.25,77.75
H1760_1338,H1760,ALN,42.41,78.7
H1760_1339,H1760,ABA,42.29,74.78
H1760_134,H1760,ABA,71.75,7.5
H1760_1340,H1760,ABA,42.6,73.36
H1760_1341,H1760,ABA,48.74,78.64
H1760_1342,H1760,ABA,42.52,78.67
H1760_1343,H1760,TOC,43.5,73
H1760_1344,H1760,TOC,44.75,79
H1760_1345,H1760,ABA,40.75,78.5
H1760_1346,H1760,ASP,41,72.5
H1760_1347,H1760,ASP,45,71
H1760_1348,H1760,ASP,45.25,71
H1760_1349,H1760,ASP,47,72
H1760_135,H1760,ABA,73,6.5
H1760_1350,H1760,ASP,49,76.5
H1760_1351,H1760,ABA,44.25,78.75
H1760_1352,H1760,ABA,45.5,71.75
H1760_1353,H1760,ABA,45.5,77
H1760_1354,H1760,ABA,47.5,74.25
H1760_1355,H1760,BPA,43.5,73.25
H1760_1356,H1760,ASP,54.95,70.71
H1760_1357,H1760,ASP,55.76,70.7
H1760_1358,H1760,TOC,53,78.5
H1760_1359,H1760,BPA,52,75.75
H1760_136,H1760,ABA,74,3
H1760_1360,H1760,TOC,54.75,73
H1760_1361,H1760,TOC,59.75,73.25
H1760_1362,H1760,TOC,58.5,76
H1760_1363,H1760,TOC,60,80
H1760_1364,H1760,ASP,52,71.5
H1760_1365,H1760,ASP,52.5,73
H1760_1366,H1760,ABA,50.5,71.5
H1760_1367,H1760,ABA,50.75,76.25
H1760_1368,H1760,ABA,51,72.5
H1760_1369,H1760,ABA,51.75,73.5
H1760_137,H1760,ABA,76.5,2.5
H1760_1370,H1760,ABA,52.25,76.25
H1760_1371,H1760,ABA,55,75
H1760_1372,H1760,ABA,55,80
H1760_1373,H1760,ABA,55.5,78.5
H1760_1374,H1760,ABA,58,70.75
H1760_1375,H1760,ABA,58.75,71.25
H1760_1376,H1760,ABA,59,70.5
H1760_1377,H1760,ASP,64.55,74.06
H1760_1378,H1760,TOC,60,71
H1760_1379,H1760,TOC,63,72
H1760_138,H1760,ABA,76.5,10
H1760_1380,H1760,TOC,64,73.5
H1760_1381,H1760,TOC,62,76
H1760_1382,H1760,TOC,68,77
H1760_1383,H1760,ASP,64.5,77
H1760_1384,H1760,ASP,67,72.5
H1760_1385,H1760,ABA,64,75
H1760_1386,H1760,ABA,64.25,77
H1760_1387,H1760,ABA,65,72
H1760_1388,H1760,ABA,65.25,72.25
H1760_1389,H1760,ABA,67,77
H1760_139,H1760,ABA,78,8
H1760_1390,H1760,ABA,68,75
H1760_1391,H1760,ABA,68,75.25
H1760_1392,H1760,ABA,68.5,72.5
H1760_1393,H1760,ABA,69,75.5
H1760_1394,H1760,ASP,78.09,74.05
H1760_1395,H1760,ASP,70,72.46
H1760_1396,H1760,TOC,72.75,78.25
H1760_1397,H1760,TOC,73,76
H1760_1398,H1760,TOC,74,76.75
H1760_1399,H1760,TOC,76.5,78.75
H1760_14,H1760,TOC,17,9.75
H1760_140,H1760,TOC,75,5
H1760_1400,H1760,TOC,77,72
H1760_1401,H1760,TOC,72,70.25
H1760_1402,H1760,ASP,71.5,71.5
H1760_1403,H1760,ABA,70.5,75.25
H1760_1404,H1760,ABA,71.5,77
H1760_1405,H1760,ABA,75,75
H1760_1406,H1760,ABA,76.5,72
H1760_1407,H1760,ABA,79.5,71.75
H1760_1408,H1760,TOC,75,74
H1760_1409,H1760,TOC,88,78
H1760_141,H1760,ABA,89,0.75
H1760_1410,H1760,TOC,83.5,78.5
H1760_1411,H1760,BPA,83.5,77.5
H1760_1412,H1760,BPA,83.5,77.25
H1760_1413,H1760,TOC,83,77
H1760_1414,H1760,TOC,81.5,75.25
H1760_1415,H1760,TOC,81,76
H1760_1416,H1760,TOC,80.5,77
H1760_1417,H1760,ASP,82.5,72
H1760_1418,H1760,ASP,85.5,71
H1760_1419,H1760,ASP,86,71.25
H1760_142,H1760,ABA,88.21,5.66
H1760_1420,H1760,ASP,87,73.5
H1760_1421,H1760,ASP,88.25,70
H1760_1422,H1760,TOC,83,75
H1760_1423,H1760,ASP,87,75
H1760_1424,H1760,ABA,80.25,73.5
H1760_1425,H1760,ABA,80.75,74.75
H1760_1426,H1760,ABA,81,78.5
H1760_1427,H1760,ABA,82,79
H1760_1428,H1760,ABA,82.5,71
H1760_1429,H1760,ABA,83,73
H1760_143,H1760,ABA,87.95,6.92
H1760_1430,H1760,ABA,87,70.25
H1760_1431,H1760,ABA,90,78
H1760_1432,H1760,TOC,83,76
H1760_1433,H1760,TOC,89,75.5
H1760_1434,H1760,TOC,96.5,70.5
H1760_1435,H1760,TOC,93.75,71.75
H1760_1436,H1760,BPA,95,75
H1760_1437,H1760,TOC,94,79.75
H1760_1438,H1760,TOC,99.75,78.5
H1760_1439,H1760,TOC,98.5,74
H1760_144,H1760,ABA,85.96,10
H1760_1440,H1760,TOC,98,77.75
H1760_1441,H1760,TOC,94,78
H1760_1442,H1760,TOC,90.25,79
H1760_1443,H1760,ASP,91,72.5
H1760_1444,H1760,ABA,93,76
H1760_1445,H1760,ABA,95.25,73
H1760_1446,H1760,ABA,98,74
H1760_1447,H1760,ASP,2.41,86.2
H1760_1448,H1760,ASP,1.87,87.47
H1760_1449,H1760,TOC,1.75,86.25
H1760_145,H1760,ABA,88.74,9.84
H1760_1450,H1760,TOC,1.5,82
H1760_1451,H1760,TOC,2,82.5
H1760_1452,H1760,BPA,3,83
H1760_1453,H1760,TOC,7.25,82
H1760_1454,H1760,TOC,6.75,84.5
H1760_1455,H1760,TOC,8,86
H1760_1456,H1760,ABA,6.5,88
H1760_1457,H1760,ABA,6,88.5
H1760_1458,H1760,ABA,3.5,85
H1760_1459,H1760,ABA,8,84
H1760_146,H1760,TOC,85,1
H1760_1460,H1760,ABA,8.5,83
H1760_1461,H1760,ABA,9,87
H1760_1462,H1760,ABA,10.99,84.08
H1760_1463,H1760,ABA,11.43,85.1
H1760_1464,H1760,ABA,15.5,82
H1760_1465,H1760,ABA,14.29,82.34
H1760_1466,H1760,ABA,18.6,83.96
H1760_1467,H1760,ABA,15.9,90
H1760_1468,H1760,TOC,19,88.5
H1760_1469,H1760,BPA,19.5,86
H1760_147,H1760,TOC,87,0.75
H1760_1470,H1760,TOC,18.75,87.5
H1760_1471,H1760,TOC,18.5,84.5
H1760_1472,H1760,TOC,10.5,85
H1760_1473,H1760,TOC,11.5,84.25
H1760_1474,H1760,TOC,12,88.5
H1760_1475,H1760,TOC,16,86
H1760_1476,H1760,TOC,15.5,82
H1760_1477,H1760,BPA,16.75,80.25
H1760_1478,H1760,ABA,16,82
H1760_1479,H1760,ABA,16,83
H1760_148,H1760,TOC,89.75,2
H1760_1480,H1760,ABA,11,90
H1760_1481,H1760,ABA,12.5,89.75
H1760_1482,H1760,ABA,14.25,80.25
H1760_1483,H1760,ABA,14.5,81
H1760_1484,H1760,ABA,16,80.75
H1760_1485,H1760,ABA,16.5,80.5
H1760_1486,H1760,ABA,17,89
H1760_1487,H1760,ABA,18.25,84
H1760_1488,H1760,ABA,24.56,81.33
H1760_1489,H1760,ABA,22.49,81.48
H1760_149,H1760,TOC,84,5
H1760_1490,H1760,ABA,22.96,80.92
H1760_1491,H1760,TOC,20.75,89.75
H1760_1492,H1760,TOC,21.25,89
H1760_1493,H1760,PTR,21.5,85.25
H1760_1494,H1760,TOC,21.5,82
H1760_1495,H1760,PGL,25.5,83
H1760_1496,H1760,TOC,27.75,81.25
H1760_1497,H1760,BPA,28.5,82.5
H1760_1498,H1760,PTR,29,84.5
H1760_1499,H1760,PGL,28.5,85.25
H1760_15,H1760,TOC,16,2.75
H1760_150,H1760,TOC,85,6
H1760_1500,H1760,PTR,27.25,85
H1760_1501,H1760,PTR,27,87.5
H1760_1502,H1760,PTR,28,88.5
H1760_1503,H1760,PTR,29,89.5
H1760_1504,H1760,ABA,28,82
H1760_1505,H1760,ABA,25,85.5
H1760_1506,H1760,ABA,25.5,87
H1760_1507,H1760,ABA,21,86.5
H1760_1508,H1760,ABA,24,83.5
H1760_1509,H1760,ABA,28,89.5
H1760_151,H1760,TOC,85.5,7
H1760_1510,H1760,ABA,29,85
H1760_1511,H1760,ABA,29.75,80.75
H1760_1512,H1760,ABA,29.75,81.5
H1760_1513,H1760,PTR,22.75,87.5
H1760_1514,H1760,TOC,21.75,86.5
H1760_1515,H1760,ASP,38.9,81.67
H1760_1516,H1760,ABA,30.78,89.81
H1760_1517,H1760,ABA,32.59,88.79
H1760_1518,H1760,ABA,32.66,88.43
H1760_1519,H1760,TOC,32.25,82.75
H1760_152,H1760,TOC,83.75,7.5
H1760_1520,H1760,PGL,30.5,84
H1760_1521,H1760,BPA,30,85
H1760_1522,H1760,TOC,34.5,86
H1760_1523,H1760,TOC,33,87
H1760_1524,H1760,TOC,31.5,86.5
H1760_1525,H1760,BPA,30.25,88.25
H1760_1526,H1760,BPA,30.5,88.75
H1760_1527,H1760,BPA,30.75,88.5
H1760_1528,H1760,PTR,36,89
H1760_1529,H1760,ABA,38.25,81
H1760_153,H1760,TOC,83,9
H1760_1530,H1760,ABA,39.5,89
H1760_1531,H1760,ABA,33.5,89.25
H1760_1532,H1760,ABA,32,89
H1760_1533,H1760,ABA,33,86.5
H1760_1534,H1760,ABA,34.5,87.75
H1760_1535,H1760,ABA,30.25,80.5
